"iso 3","country id","country","trade value export","trade value import","trade value delta","year"
"nzl","ocnzl","New Zealand",311,13829,-13518,2002
"arg","saarg","Argentina",311419,269571,41848,2002
"bra","sabra","Brazil",61947,5415425,-5353478,2002
"chl","sachl","Chile",5996,290681,-284685,2002
"civ","afciv","Cote d'Ivoire",115385,3664,111721,2003
"ken","afken","Kenya",29122,6790,22332,2003
"sen","afsen","Senegal",1388,11276,-9888,2003
"zaf","afzaf","South Africa",846883,4309123,-3462240,2003
"are","asare","United Arab Emirates",51132,62258,-11126,2003
"chn","aschn","China",189206503,9296237,179910266,2003
"hkg","ashkg","Hong Kong",1233056,4789925,-3556869,2003
"idn","asidn","Indonesia",36109,4325413,-4289304,2003
"ind","asind","India",765138,1544678,-779540,2003
"isr","asisr","Israel",993026,623041,369985,2003
"jpn","asjpn","Japan",60487935,99765225,-39277290,2003
"kaz","askaz","Kazakhstan",858705,332657,526048,2003
"kgz","askgz","Kyrgyzstan",237033,5844,231189,2003
"kor","askor","South Korea",3442517,38816287,-35373770,2003
"lka","aslka","Sri Lanka",5697,36853,-31156,2003
"mys","asmys","Malaysia",46712,4563006,-4516294,2003
"sau","assau","Saudi Arabia",231121,300813,-69692,2003
"sgp","assgp","Singapore",13142453,10304406,2838047,2003
"tha","astha","Thailand",11031,13086638,-13075607,2003
"tjk","astjk","Tajikistan",1000,58,942,2003
"tur","astur","Turkey",8550,1165872,-1157322,2003
"twn","astwn","Chinese Taipei",2155371,22703655,-20548284,2003
"aut","euaut","Austria",23874253,5988032,17886221,2003
"bel","eubel","Belgium",3011846,5954314,-2942468,2003
"bgr","eubgr","Bulgaria",993,67754,-66761,2003
"che","euche","Switzerland",752360,1310636,-558276,2003
"cze","eucze","Czechia",48146,3033875,-2985729,2003
"deu","eudeu","Germany",6382364,32937893,-26555529,2003
"dnk","eudnk","Denmark",19382,153615,-134233,2003
"esp","euesp","Spain",190582,4026404,-3835822,2003
"est","euest","Estonia",4784657,723087,4061570,2003
"fin","eufin","Finland",5176,636667,-631491,2003
"fra","eufra","France",67555692,27716306,39839386,2003
"gbr","eugbr","United Kingdom",21965494,24677997,-2712503,2003
"hrv","euhrv","Croatia",97,7990,-7893,2003
"irl","euirl","Ireland",1675340,3969535,-2294195,2003
"ita","euita","Italy",3788965,9594395,-5805430,2003
"ltu","eultu","Lithuania",3510,357093,-353583,2003
"nld","eunld","Netherlands",2037237,20273635,-18236398,2003
"nor","eunor","Norway",10630262,190164,10440098,2003
"pol","eupol","Poland",23996,541920,-517924,2003
"prt","euprt","Portugal",1479,357637,-356158,2003
"rus","eurus","Russia",23273997,2174476,21099521,2003
"svk","eusvk","Slovakia",806,70419,-69613,2003
"svn","eusvn","Slovenia",636,94383,-93747,2003
"swe","euswe","Sweden",12183,1683939,-1671756,2003
"ukr","euukr","Ukraine",69652,91831,-22179,2003
"can","nacan","Canada",359447,14414305,-14054858,2003
"cri","nacri","Costa Rica",288,23558,-23270,2003
"mex","namex","Mexico",100734,6019232,-5918498,2003
"nic","nanic","Nicaragua",29484,431,29053,2003
"slv","naslv","El Salvador",5145,77,5068,2003
"usa","nausa","United States",35924986,85423369,-49498383,2003
"aus","ocaus","Australia",281380,310032,-28652,2003
"ncl","ocncl","New Caledonia",30840,3518,27322,2003
"nzl","ocnzl","New Zealand",1947,10775,-8828,2003
"arg","saarg","Argentina",365498,263942,101556,2003
"bra","sabra","Brazil",49517,3887087,-3837570,2003
"ven","saven","Venezuela",27648,35022,-7374,2003
"ken","afken","Kenya",17870,4078,13792,2004
"nam","afnam","Namibia",16,6522,-6506,2004
"tun","aftun","Tunisia",9,27054,-27045,2004
"zaf","afzaf","South Africa",570793,4035901,-3465108,2004
"zwe","afzwe","Zimbabwe",50130,13451,36679,2004
"are","asare","United Arab Emirates",83427,97916,-14489,2004
"bgd","asbgd","Bangladesh",7517,82218,-74701,2004
"brn","asbrn","Brunei",72,8804,-8732,2004
"chn","aschn","China",215346433,19915600,195430833,2004
"hkg","ashkg","Hong Kong",848330,4789269,-3940939,2004
"idn","asidn","Indonesia",68949,1113199,-1044250,2004
"ind","asind","India",814817,3693577,-2878760,2004
"isr","asisr","Israel",881655,1255277,-373622,2004
"jpn","asjpn","Japan",73763029,129115608,-55352579,2004
